image,prompt,num_detections,avg_confidence
000000015338.jpg,object,1,0.3821104168891907
000000015338.jpg,thing,2,0.41416051983833313
000000015338.jpg,animal,1,0.531711220741272
000000015338.jpg,vehicle,1,0.4087600111961365
000000060449.jpg,object,1,0.5135623216629028
000000060449.jpg,thing,1,0.5451279282569885
000000060449.jpg,animal,1,0.3788870573043823
000000060449.jpg,vehicle,0,0.0
000000085157.jpg,object,0,0.0
000000085157.jpg,thing,0,0.0
000000085157.jpg,animal,0,0.0
000000085157.jpg,vehicle,0,0.0
000000090003.jpg,object,1,0.47582289576530457
000000090003.jpg,thing,3,0.39005088806152344
000000090003.jpg,animal,2,0.5195434093475342
000000090003.jpg,vehicle,0,0.0
000000115946.jpg,object,1,0.3694707453250885
000000115946.jpg,thing,0,0.0
000000115946.jpg,animal,0,0.0
000000115946.jpg,vehicle,0,0.0
000000125405.jpg,object,3,0.42660605907440186
000000125405.jpg,thing,2,0.5592754483222961
000000125405.jpg,animal,2,0.7118581533432007
000000125405.jpg,vehicle,0,0.0
000000181816.jpg,object,1,0.4061424732208252
000000181816.jpg,thing,1,0.45616936683654785
000000181816.jpg,animal,1,0.541331946849823
000000181816.jpg,vehicle,0,0.0
000000192716.jpg,object,1,0.5143061280250549
000000192716.jpg,thing,1,0.5760301351547241
000000192716.jpg,animal,1,0.47145387530326843
000000192716.jpg,vehicle,0,0.0
000000218091.jpg,object,0,0.0
000000218091.jpg,thing,1,0.37023845314979553
000000218091.jpg,animal,0,0.0
000000218091.jpg,vehicle,0,0.0
000000281409.jpg,object,1,0.4063568413257599
000000281409.jpg,thing,2,0.4136000871658325
000000281409.jpg,animal,1,0.5122511386871338
000000281409.jpg,vehicle,0,0.0
000000291634.jpg,object,1,0.5093085169792175
000000291634.jpg,thing,1,0.5499562621116638
000000291634.jpg,animal,1,0.5164539813995361
000000291634.jpg,vehicle,0,0.0
000000300276.jpg,object,1,0.3726647198200226
000000300276.jpg,thing,0,0.0
000000300276.jpg,animal,0,0.0
000000300276.jpg,vehicle,0,0.0
000000314251.jpg,object,0,0.0
000000314251.jpg,thing,0,0.0
000000314251.jpg,animal,0,0.0
000000314251.jpg,vehicle,0,0.0
000000334006.jpg,object,2,0.47269248962402344
000000334006.jpg,thing,2,0.5192620754241943
000000334006.jpg,animal,1,0.6476084589958191
000000334006.jpg,vehicle,2,0.5621843934059143
000000357941.jpg,object,0,0.0
000000357941.jpg,thing,0,0.0
000000357941.jpg,animal,1,0.5981416702270508
000000357941.jpg,vehicle,0,0.0
000000365208.jpg,object,2,0.3636767268180847
000000365208.jpg,thing,1,0.37662920355796814
000000365208.jpg,animal,1,0.40053197741508484
000000365208.jpg,vehicle,0,0.0
000000367195.jpg,object,1,0.47385716438293457
000000367195.jpg,thing,1,0.4744817018508911
000000367195.jpg,animal,1,0.8007652759552002
000000367195.jpg,vehicle,0,0.0
000000373353.jpg,object,1,0.3872889280319214
000000373353.jpg,thing,1,0.454693078994751
000000373353.jpg,animal,1,0.45510509610176086
000000373353.jpg,vehicle,0,0.0
000000396200.jpg,object,1,0.4117567241191864
000000396200.jpg,thing,1,0.423018217086792
000000396200.jpg,animal,0,0.0
000000396200.jpg,vehicle,0,0.0
000000481390.jpg,object,0,0.0
000000481390.jpg,thing,1,0.38145536184310913
000000481390.jpg,animal,1,0.3946288526058197
000000481390.jpg,vehicle,0,0.0
000000492110.jpg,object,1,0.48055651783943176
000000492110.jpg,thing,2,0.4074079990386963
000000492110.jpg,animal,0,0.0
000000492110.jpg,vehicle,0,0.0
000000501523.jpg,object,0,0.0
000000501523.jpg,thing,0,0.0
000000501523.jpg,animal,1,0.8384544253349304
000000501523.jpg,vehicle,0,0.0
000000532761.jpg,object,1,0.3760964572429657
000000532761.jpg,thing,0,0.0
000000532761.jpg,animal,0,0.0
000000532761.jpg,vehicle,0,0.0
000000534394.jpg,object,0,0.0
000000534394.jpg,thing,0,0.0
000000534394.jpg,animal,1,0.47232407331466675
000000534394.jpg,vehicle,0,0.0
000000558558.jpg,object,0,0.0
000000558558.jpg,thing,0,0.0
000000558558.jpg,animal,0,0.0
000000558558.jpg,vehicle,0,0.0
000000568147.jpg,object,1,0.4602198600769043
000000568147.jpg,thing,1,0.4664298892021179
000000568147.jpg,animal,1,0.4362642168998718
000000568147.jpg,vehicle,0,0.0
000000568710.jpg,object,1,0.4565604627132416
000000568710.jpg,thing,1,0.39639362692832947
000000568710.jpg,animal,0,0.0
000000568710.jpg,vehicle,0,0.0
000000570664.jpg,object,0,0.0
000000570664.jpg,thing,0,0.0
000000570664.jpg,animal,1,0.3520202338695526
000000570664.jpg,vehicle,0,0.0
000000577976.jpg,object,2,0.3771027624607086
000000577976.jpg,thing,2,0.41599535942077637
000000577976.jpg,animal,1,0.40606895089149475
000000577976.jpg,vehicle,2,0.6709789037704468
000000580418.jpg,object,0,0.0
000000580418.jpg,thing,0,0.0
000000580418.jpg,animal,2,0.4376925826072693
000000580418.jpg,vehicle,0,0.0
